Hotel,Brand,Destination,Current Category,Current Standard Price,New Category,New Standard Price
Aberdeen Marriott Hotel,Marriott,United Kingdom,3,17500,2,12500
AC Hotel Aitana,AC Hotels by Marriott,Spain,3,17500,4,25000
AC Hotel Alcala de Henares,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Almeria,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Aravaca,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Asheville Downtown,AC Hotels by Marriott,USA,6,50000,7,60000
AC Hotel Atlanta Buckhead at Phipps Plaza,AC Hotels by Marriott,USA,3,17500,4,25000
AC Hotel Atlanta Downtown,AC Hotels by Marriott,USA,4,25000,5,35000
AC Hotel Belfast,AC Hotels by Marriott,United Kingdom,5,35000,4,25000
AC Hotel Bella Sky Copenhagen,AC Hotels by Marriott,Denmark,5,35000,4,25000
AC Hotel Bogota Zona T,AC Hotels by Marriott,Colombia,1,7500,2,12500
AC Hotel Brescia,AC Hotels by Marriott,Italy,1,7500,2,12500
AC Hotel Burgos,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Chapel Hill Downtown,AC Hotels by Marriott,USA,4,25000,5,35000
AC Hotel Chicago Downtown,AC Hotels by Marriott,USA,4,25000,5,35000
AC Hotel Cincinnati at Liberty Center,AC Hotels by Marriott,USA,3,17500,4,25000
AC Hotel Cincinnati at The Banks,AC Hotels by Marriott,USA,4,25000,5,35000
AC Hotel Ciudad de Sevilla,AC Hotels by Marriott,Spain,3,17500,4,25000
AC Hotel Columbus Dublin,AC Hotels by Marriott,USA,3,17500,4,25000
AC Hotel Coslada Aeropuerto,AC Hotels by Marriott,Spain,2,12500,3,17500
AC Hotel Cuzco,AC Hotels by Marriott,Spain,3,17500,4,25000
AC Hotel Dallas by the Galleria,AC Hotels by Marriott,USA,2,12500,3,17500
AC Hotel Des Moines East Village,AC Hotels by Marriott,USA,3,17500,4,25000
AC Hotel Diagonal L´Illa,AC Hotels by Marriott,Spain,4,25000,5,35000
AC Hotel General Alava,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Huelva,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Irla,AC Hotels by Marriott,Spain,4,25000,5,35000
AC Hotel Istanbul Macka,AC Hotels by Marriott,Turkey,2,12500,3,17500
"AC Hotel Kingston, Jamaica",AC Hotels by Marriott,Jamaica,3,17500,4,25000
AC Hotel La Rioja,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Leon San Antonio,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Lima Miraflores,AC Hotels by Marriott,Peru,3,17500,4,25000
AC Hotel Louisville Downtown,AC Hotels by Marriott,USA,5,35000,4,25000
AC Hotel Madison Downtown,AC Hotels by Marriott,USA,4,25000,5,35000
AC Hotel Madrid Feria,AC Hotels by Marriott,Spain,3,17500,4,25000
AC Hotel Miami Aventura,AC Hotels by Marriott,USA,5,35000,4,25000
"AC Hotel National Harbor Washington, DC Area",AC Hotels by Marriott,USA,4,25000,5,35000
AC Hotel New York Times Square,AC Hotels by Marriott,USA,5,35000,6,50000
AC Hotel Nice,AC Hotels by Marriott,France,5,35000,6,50000
AC Hotel Panama City,AC Hotels by Marriott,Panama,3,17500,2,12500
AC Hotel Paris Le Bourget Airport,AC Hotels by Marriott,France,3,17500,4,25000
AC Hotel Paris Porte Maillot,AC Hotels by Marriott,France,4,25000,5,35000
AC Hotel Queretaro Antea,AC Hotels by Marriott,Mexico,1,7500,2,12500
AC Hotel San Jose Downtown,AC Hotels by Marriott,USA,4,25000,5,35000
AC Hotel San Juan Condado,AC Hotels by Marriott,Puerto Rico,4,25000,5,35000
AC Hotel San Sebastian de los Reyes,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Santa Fe,AC Hotels by Marriott,Mexico,3,17500,2,12500
AC Hotel Sants,AC Hotels by Marriott,Spain,4,25000,5,35000
AC Hotel Spartanburg,AC Hotels by Marriott,USA,3,17500,4,25000
AC Hotel Tucson Downtown,AC Hotels by Marriott,USA,3,17500,4,25000
AC Hotel Valencia,AC Hotels by Marriott,Spain,1,7500,2,12500
AC Hotel Venezia,AC Hotels by Marriott,Italy,5,35000,6,50000
AC Hotel Vicenza,AC Hotels by Marriott,Italy,1,7500,2,12500
AC Hotel Victoria Suites,AC Hotels by Marriott,Spain,4,25000,5,35000
AC Hotel Zamora,AC Hotels by Marriott,Spain,3,17500,2,12500
Accra Marriott Hotel,Marriott,Ghana,2,12500,3,17500
"African Pride Irene Country Lodge, Autograph Collection®",Autograph Collection,South Africa,2,12500,3,17500
"African Pride Melrose Arch, Autograph Collection®",Autograph Collection,South Africa,2,12500,3,17500
"African Pride Mount Grace Country House & Spa, Autograph Collection",Autograph Collection,South Africa,2,12500,3,17500
Aloft Abu Dhabi,Aloft,United Arab Emirates,2,12500,3,17500
Aloft Al Ain,Aloft,United Arab Emirates,1,7500,2,12500
Aloft Arundel Mills BWI Airport,Aloft,USA,3,17500,2,12500
Aloft Asheville Downtown,Aloft,USA,5,35000,6,50000
Aloft Asuncion,Aloft,Paraguay,2,12500,1,7500
Aloft Atlanta Downtown,Aloft,USA,4,25000,5,35000
Aloft Bengaluru Cessna Business Park,Aloft,India,1,7500,2,12500
Aloft Bogota Airport,Aloft,Colombia,1,7500,2,12500
Aloft Bolingbrook,Aloft,USA,2,12500,3,17500
Aloft Calgary University,Aloft,Canada,3,17500,2,12500
Aloft Cancun,Aloft,Mexico,4,25000,3,17500
Aloft Charleston Airport & Convention Center,Aloft,USA,4,25000,3,17500
Aloft Chicago Downtown River North,Aloft,USA,4,25000,5,35000
Aloft Columbia Downtown,Aloft,USA,4,25000,5,35000
Aloft Columbia Harbison,Aloft,USA,2,12500,3,17500
Aloft Corpus Christi,Aloft,USA,3,17500,4,25000
Aloft Detroit at The David Whitney,Aloft,USA,4,25000,5,35000
Aloft Dublin City,Aloft,Ireland,4,25000,5,35000
Aloft Dulles Airport North,Aloft,USA,2,12500,3,17500
Aloft El Paso Downtown,Aloft,USA,4,25000,3,17500
Aloft El Segundo - Los Angeles Airport,Aloft,USA,4,25000,5,35000
